label,prob,Kit_NN_prediction,Kit_NN_prediction_value
102,99.90426635742188,negative,0.0
103,99.99932861328124,negative,0.0
104,97.53633880615234,negative,0.0
105,99.990234375,negative,0.0
106,99.99951171875,negative,0.0
107,99.92359924316406,negative,0.0
108,99.9995574951172,negative,0.0
109,99.99996185302734,negative,0.0
110,99.77413177490234,negative,0.0
111,99.99947357177734,negative,0.0
112,99.70775604248048,negative,0.0
113,99.9998779296875,negative,0.0
114,86.62849426269531,negative,0.0
115,98.33594512939452,positive,1.0
116,99.7522201538086,negative,0.0
117,99.82925415039062,negative,0.0
118,100.0,negative,0.0
119,99.99972534179688,negative,0.0
120,99.99705505371094,negative,0.0
121,99.8957748413086,negative,0.0
122,99.99832916259766,negative,0.0
123,99.98941040039062,negative,0.0
124,99.99998474121094,negative,0.0
125,99.96218872070312,negative,0.0
126,99.69224548339844,positive,1.0
127,99.9994888305664,negative,0.0
128,70.46123504638672,positive,1.0
129,88.37188720703125,positive,1.0
130,99.99696350097656,negative,0.0
132,99.98226928710938,negative,0.0
133,99.99800872802734,negative,0.0
134,99.1313018798828,positive,1.0
135,99.99821472167967,negative,0.0
136,91.8783187866211,positive,1.0
137,99.6209945678711,positive,1.0
138,99.87806701660156,negative,0.0
139,99.99317169189452,negative,0.0
140,99.99845123291016,negative,0.0
141,99.99813079833984,negative,0.0
142,99.96653747558594,negative,0.0
143,99.97843170166016,negative,0.0
144,87.00386047363281,positive,1.0
145,99.9986801147461,negative,0.0
146,57.19929885864258,positive,1.0
147,99.99747467041016,negative,0.0
148,97.75019073486328,positive,1.0
149,99.3026885986328,negative,0.0
150,99.9999542236328,negative,0.0
151,99.97584533691406,negative,0.0
152,96.93419647216795,negative,0.0
153,99.99911499023438,negative,0.0
155,99.99978637695312,negative,0.0
156,99.99351501464844,negative,0.0
157,99.92498779296876,negative,0.0
158,99.98955535888672,negative,0.0
159,71.61885833740234,negative,0.0
160,68.15544891357422,negative,0.0
161,75.49286651611328,positive,1.0
162,99.98127746582033,negative,0.0
163,55.997806549072266,positive,1.0
164,99.99737548828124,negative,0.0
165,99.78562927246094,negative,0.0
166,99.99982452392578,negative,0.0
167,99.98899841308594,negative,0.0
168,99.95140075683594,negative,0.0
169,99.9999542236328,negative,0.0
170,99.99821472167967,negative,0.0
171,99.99998474121094,negative,0.0
172,94.95547485351562,positive,1.0
173,99.99968719482422,negative,0.0
174,82.1170654296875,positive,1.0
175,75.77033996582031,positive,1.0
176,83.45954132080078,positive,1.0
177,99.50908660888672,positive,1.0
178,95.60143280029295,positive,1.0
179,99.99990844726562,negative,0.0
180,99.97642517089844,negative,0.0
181,99.83808135986328,negative,0.0
182,94.70319366455078,positive,1.0
183,99.9999542236328,negative,0.0
184,89.53518676757812,positive,1.0
185,99.99925231933594,negative,0.0
186,99.92337036132812,negative,0.0
187,99.9994659423828,negative,0.0
188,99.966796875,negative,0.0
189,99.62828826904295,negative,0.0
190,99.9878158569336,negative,0.0
191,99.99978637695312,negative,0.0
192,71.99264526367188,negative,0.0
193,99.99987030029295,negative,0.0
194,99.9980697631836,negative,0.0
195,99.55085754394533,negative,0.0
196,99.98159790039062,negative,0.0
197,99.98395538330078,negative,0.0
198,99.97028350830078,negative,0.0
199,99.36614990234376,negative,0.0
200,99.8004150390625,negative,0.0
201,99.9997100830078,negative,0.0
202,97.6326675415039,positive,1.0
203,78.99835968017578,negative,0.0
204,99.83815002441406,negative,0.0
205,99.9578094482422,negative,0.0
206,99.99251556396484,negative,0.0
207,88.09354400634766,negative,0.0
208,99.99024963378906,negative,0.0
209,99.9980010986328,negative,0.0
210,99.94525146484376,negative,0.0
211,99.98685455322266,negative,0.0
212,99.99876403808594,negative,0.0
213,99.98421478271484,negative,0.0
214,99.98021697998048,negative,0.0
215,99.99313354492188,negative,0.0
216,97.06208038330078,positive,1.0
217,99.99842834472656,negative,0.0
218,99.75611877441406,negative,0.0
219,99.99707794189452,negative,0.0
220,99.99272918701172,negative,0.0
221,98.42027282714844,positive,1.0
222,99.89778137207033,negative,0.0
223,99.99982452392578,negative,0.0
224,99.92250061035156,negative,0.0
225,99.96139526367188,negative,0.0
226,96.41610717773438,negative,0.0
227,90.31292724609376,negative,0.0
228,99.96571350097656,negative,0.0
229,99.9809341430664,negative,0.0
230,98.41397094726562,positive,1.0
231,99.99609375,negative,0.0
232,99.98544311523438,negative,0.0
233,99.99979400634766,negative,0.0
234,58.09658050537109,negative,0.0
235,99.9982681274414,negative,0.0
236,99.55066680908205,negative,0.0
237,99.9938735961914,negative,0.0
238,99.99974060058594,negative,0.0
239,99.9282684326172,negative,0.0
240,99.68933868408205,positive,1.0
241,99.99162292480467,negative,0.0
242,99.99658966064452,negative,0.0
243,99.78699493408205,negative,0.0
244,76.96162414550781,negative,0.0
245,99.9740219116211,negative,0.0
246,99.99847412109376,negative,0.0
247,99.99993133544922,negative,0.0
248,54.3322639465332,positive,1.0
249,99.99845123291016,negative,0.0
250,99.91512298583984,negative,0.0
251,99.984130859375,negative,0.0
252,99.7885971069336,negative,0.0
253,99.99658203125,negative,0.0
254,99.96856689453124,negative,0.0
255,99.9991683959961,negative,0.0
256,76.6135482788086,positive,1.0
257,99.87555694580078,positive,1.0
258,99.74742889404295,negative,0.0
259,97.09708404541016,positive,1.0
260,99.5995864868164,negative,0.0
261,95.31932067871094,negative,0.0
262,99.9640121459961,negative,0.0
263,99.99996185302734,negative,0.0
