label,prob,CD45_NN_prediction,CD45_NN_prediction_value
322,99.99508666992188,negative,0.0
323,100.0,negative,0.0
324,99.99958038330078,negative,0.0
325,99.91207885742188,positive,1.0
326,100.0,negative,0.0
327,100.0,negative,0.0
328,100.0,negative,0.0
329,94.33509826660156,positive,1.0
330,99.99996185302734,negative,0.0
331,99.94514465332033,positive,1.0
332,100.0,negative,0.0
333,99.99998474121094,negative,0.0
334,100.0,negative,0.0
335,99.98603057861328,positive,1.0
336,100.0,negative,0.0
337,99.98841094970705,negative,0.0
338,100.0,negative,0.0
339,100.0,negative,0.0
340,100.0,negative,0.0
341,100.0,negative,0.0
342,100.0,negative,0.0
343,100.0,negative,0.0
344,100.0,negative,0.0
345,100.0,negative,0.0
346,100.0,negative,0.0
347,99.99996185302734,negative,0.0
348,100.0,negative,0.0
349,99.99856567382812,negative,0.0
350,99.98287963867188,negative,0.0
351,99.99942779541016,negative,0.0
352,100.0,negative,0.0
353,99.99996185302734,negative,0.0
354,100.0,negative,0.0
355,100.0,negative,0.0
356,100.0,negative,0.0
357,100.0,negative,0.0
358,100.0,negative,0.0
359,100.0,negative,0.0
360,100.0,negative,0.0
361,100.0,negative,0.0
362,100.0,negative,0.0
363,100.0,negative,0.0
364,100.0,negative,0.0
365,100.0,negative,0.0
366,99.75363159179688,positive,1.0
367,99.97901153564452,negative,0.0
368,100.0,negative,0.0
369,100.0,negative,0.0
370,100.0,negative,0.0
371,100.0,negative,0.0
372,100.0,negative,0.0
373,100.0,negative,0.0
374,99.99996185302734,negative,0.0
375,100.0,negative,0.0
376,100.0,negative,0.0
377,100.0,negative,0.0
378,99.9999771118164,negative,0.0
379,99.9808349609375,positive,1.0
380,99.96356964111328,positive,1.0
381,100.0,negative,0.0
382,99.97891998291016,negative,0.0
383,100.0,negative,0.0
384,99.99964141845705,negative,0.0
385,95.5119171142578,negative,0.0
386,100.0,negative,0.0
387,100.0,negative,0.0
388,99.73320770263672,negative,0.0
389,100.0,negative,0.0
390,99.9998779296875,negative,0.0
391,99.99996185302734,negative,0.0
392,100.0,negative,0.0
393,96.80248260498048,negative,0.0
394,99.28245544433594,positive,1.0
395,99.99813079833984,negative,0.0
396,99.9597625732422,positive,1.0
397,99.99211883544922,negative,0.0
398,100.0,negative,0.0
399,99.99940490722656,negative,0.0
400,99.99966430664062,negative,0.0
401,99.99961853027344,positive,1.0
402,99.97903442382812,negative,0.0
403,99.99690246582033,negative,0.0
404,100.0,negative,0.0
405,100.0,negative,0.0
406,99.56241607666016,negative,0.0
407,100.0,negative,0.0
408,99.9999771118164,negative,0.0
409,99.99998474121094,negative,0.0
410,100.0,negative,0.0
411,99.9982452392578,negative,0.0
412,100.0,negative,0.0
413,99.9998550415039,negative,0.0
414,99.9999542236328,negative,0.0
415,99.80720520019533,positive,1.0
416,100.0,negative,0.0
417,99.99998474121094,negative,0.0
418,100.0,negative,0.0
419,100.0,negative,0.0
420,100.0,negative,0.0
421,99.14734649658205,negative,0.0
422,71.52486419677734,negative,0.0
423,100.0,negative,0.0
424,99.99209594726562,positive,1.0
425,99.75994110107422,negative,0.0
426,100.0,negative,0.0
427,100.0,negative,0.0
428,99.9999771118164,negative,0.0
429,99.9999771118164,negative,0.0
430,99.99016571044922,negative,0.0
431,98.5869140625,positive,1.0
432,99.66204071044922,negative,0.0
433,99.9999771118164,negative,0.0
434,74.38096618652344,negative,0.0
435,99.99934387207033,negative,0.0
436,99.99998474121094,negative,0.0
437,99.99996185302734,negative,0.0
438,99.9999771118164,negative,0.0
439,99.90608215332033,negative,0.0
440,100.0,negative,0.0
441,99.82140350341795,negative,0.0
442,100.0,negative,0.0
443,99.9995574951172,negative,0.0
444,100.0,negative,0.0
445,100.0,negative,0.0
446,100.0,negative,0.0
447,100.0,negative,0.0
448,99.99945068359376,negative,0.0
449,100.0,negative,0.0
450,99.62144470214844,negative,0.0
451,99.99508666992188,negative,0.0
