x, y, cell_label
8022.838440111421,5678.186629526463,19774
8022.765067650676,7353.066420664207,19779
8015.091954022989,7396.471264367816,19800
8023.876736111111,8458.246527777777,19801
8039.282352941176,7286.971764705882,19850
8042.549668874172,5710.827814569537,19896
8044.923890063425,8503.093023255815,19898
8041.967105263157,9350.03947368421,19906
8058.5625,7361.238782051282,19925
8051.745222929936,5793.6815286624205,19933
8069.894566623545,5740.325355756791,19947
8062.329203539823,5862.922123893805,19952
8066.893169877408,8528.789842381786,19960
8062.336158192091,8494.742937853107,19970
8068.072271386431,9345.27138643068,19988
8070.202991452991,7295.568376068376,19999
8068.49,5780.05,20019
8080.987804878048,8563.033101045296,20029
8078.703933747412,5808.888198757764,20033
8085.450549450549,7240.820512820513,20046
8084.659050966608,7208.558875219684,20051
8083.284210526316,5776.898245614035,20076
8083.457547169812,5834.561320754717,20082
8096.562068965517,9320.422413793103,20106
8096.025369978858,5926.021141649048,20119
8098.625477707006,7069.124840764332,20128
8095.890577507599,8542.483282674772,20135
8095.270588235294,7177.435294117647,20146
8104.411666666667,8499.66,20162
8113.431587837837,5894.174831081081,20169
8105.501886792453,5839.432075471698,20177
8110.816546762589,7085.51618705036,20199
8131.284546805349,7107.7890044576525,20239
8122.542168674699,9326.85341365462,20251
8123.764595103578,7151.975517890772,20255
8135.144307469181,8509.23350253807,20281
8126.959885386819,5819.037249283668,20283
8144.130480167015,5966.306889352818,20319
8136.324137931035,5836.413793103448,20326
8142.290187891441,6020.096033402922,20345
8146.957605985038,9308.18204488778,20370
8148.438311688312,5883.707792207792,20375
8153.451546391752,5923.235051546391,20387
8159.848322147651,7017.71677852349,20390
8165.915113871635,5952.83850931677,20434
8163.800578034682,7067.43063583815,20439
8166.216174183514,6099.068429237947,20446
8170.644604316547,6983.634532374101,20447
8169.415224913495,6923.384083044983,20487
8176.0327586206895,6033.679310344827,20496
8181.497907949791,8495.995815899581,20500
8175.0594594594595,6000.554054054054,20502
8175.794117647059,5902.385294117647,20512
8180.147632311978,9298.718662952646,20520
8191.498924731182,6061.756989247312,20554
8190.166666666667,5931.916666666667,20562
8201.095510983763,5969.395415472779,20573
8204.691024622716,8521.980142970611,20576
8198.150943396226,8571.521440823328,20584
8199.445652173914,6961.839130434782,20601
8202.615979381444,9272.461340206186,20604
8204.252964426878,6096.910079051383,20607
8217.443011861784,6880.43527591542,20626
8200.648648648648,6849.345945945946,20644
8204.986945169712,6928.6971279373365,20645
8206.056042031523,6221.173380035027,20652
8212.476510067114,6172.223154362416,20667
8220.208771929825,6138.285964912281,20691
8221.542141230068,6204.512528473804,20726
8227.91304347826,6786.548136645963,20737
8223.034722222223,6830.940972222223,20738
8230.193548387097,8536.08064516129,20776
8236.124309392266,8561.533149171271,20783
8250.872053872054,6803.631313131313,20835
8249.182608695652,6259.460869565218,20863
8249.803418803418,6737.474358974359,20869
8260.958885941645,8534.458885941645,20874
