label,z,x,y,cell_properties,cell_type
2286,96.56406039766782,118.02795634624007,265.84885633129016,"Lhx2-, HnF4a-",2
2287,96.52527148411316,173.64217723555436,263.6445904276713,"Lhx2-, HnF4a-",2
2288,99.25417276720351,198.7337237676916,219.7921913128356,"Lhx2-, HnF4a-",2
2289,97.51093967370684,204.57215125837865,74.02807638801062,"Lhx2-, HnF4a-",2
2290,97.72653316645808,235.04338756779308,127.54755944931163,"Lhx2-, HnF4a-",2
2291,96.72108400074502,243.1520767368225,381.24194449618176,"Lhx2-, HnF4a+",1
2292,98.22673141403632,261.08474968204416,423.8894669904035,"Lhx2-, HnF4a+",1
2293,97.2421626533394,323.5770104497955,637.7428441617446,"Lhx2-, HnF4a-",2
2294,97.2197824134145,340.2482283661044,100.87902984329772,"Lhx2-, HnF4a-",2
2295,98.61128691983124,444.98347398030944,784.9630801687764,"Lhx2+, HnF4a-",0
2296,97.76666294518256,14.580998102043097,733.0293625097689,"Lhx2-, HnF4a-",2
2297,97.9603492699685,24.488977955911825,631.0506727741197,"Lhx2-, HnF4a-",2
2298,97.14625850340136,28.50238095238096,34.37176870748299,"Lhx2-, HnF4a-",2
2300,98.2018411183089,36.79406750767133,323.34094783498125,"Lhx2-, HnF4a-",2
2301,97.76948529411764,52.99938725490196,758.7136029411764,"Lhx2-, HnF4a-",2
2302,97.34591593973038,57.13814432989691,222.4,"Lhx2-, HnF4a-",2
2303,95.47885906040268,127.71845637583893,391.4409395973154,"Lhx2-, HnF4a-",2
2304,95.49450549450547,134.63516483516483,705.5626373626374,"Lhx2-, HnF4a+",1
2305,97.99016648817056,132.40784733716288,125.55603154512706,"Lhx2-, HnF4a-",2
2306,97.49065420560748,202.47696929238984,309.73230974632844,"Lhx2-, HnF4a-",2
2307,98.25409994211846,223.18965849893883,54.93903144896778,"Lhx2-, HnF4a-",2
2308,99.10589501573108,231.4093392945852,238.37978142076503,"Lhx2-, HnF4a-",2
2309,98.51612903225806,249.6989247311828,693.9784946236559,"Lhx2-, HnF4a-",2
2310,95.78657583203038,264.77161045342865,381.5252401161492,"Lhx2-, HnF4a-",2
2311,98.73906485671192,277.21417797888387,607.8707893413775,"Lhx2-, HnF4a-",2
2312,99.48671030838396,280.07453269185265,268.8462023818913,"Lhx2-, HnF4a-",2
2313,97.80515191545577,310.17602377807134,224.15984147952443,"Lhx2-, HnF4a-",2
2314,99.40424673017924,341.3695301146456,554.8508800258356,"Lhx2-, HnF4a-",2
2315,94.34364772389168,370.9018149360309,280.6843201428146,"Lhx2+, HnF4a-",0
2316,99.76797385620915,3.915786827551533,632.655354449472,"Lhx2-, HnF4a-",2
2317,98.59669872628022,48.72147127631921,425.8194697166624,"Lhx2-, HnF4a-",2
2318,98.77536050679336,104.3725097941152,205.91006084854547,"Lhx2-, HnF4a+",1
2319,100.78206278026906,123.54029468289558,765.3775784753363,"Lhx2-, HnF4a-",2
2321,95.57497928748964,164.32394366197184,205.79950289975145,"Lhx2-, HnF4a-",2
2322,99.49362702635813,187.5111991090212,178.48261353792847,"Lhx2-, HnF4a-",2
2323,99.26053930877326,191.0748195974174,394.9646790733004,"Lhx2-, HnF4a-",2
2324,99.08953884801724,263.67719361205815,38.73102458280998,"Lhx2-, HnF4a-",2
2325,98.99528960223309,264.7091765526867,223.6188066992324,"Lhx2-, HnF4a-",2
2326,98.70353245792492,274.70057333086737,239.81875346772705,"Lhx2-, HnF4a-",2
2327,98.37797275456016,298.1701685522974,610.4236896790579,"Lhx2-, HnF4a-",2
2328,99.34554140127388,328.8178078556263,149.58744692144373,"Lhx2-, HnF4a-",2
2329,99.61163747727056,334.2445210067949,113.90601971480524,"Lhx2+, HnF4a-",0
2330,101.07569225667385,372.8442215221356,313.76446692090866,"Lhx2-, HnF4a-",2
2331,98.46893707596116,394.8561926300386,539.9676732739125,"Lhx2-, HnF4a-",2
2332,101.306600249066,410.6151930261519,422.6768783727688,"Lhx2+, HnF4a-",0
2333,99.73946705077422,21.88170687792582,429.5387108390349,"Lhx2-, HnF4a-",2
2334,99.93238533389098,89.16973372368605,150.5084344068033,"Lhx2-, HnF4a+",1
2335,100.16424116424116,118.61452855570502,612.087440381558,"Lhx2-, HnF4a-",2
2336,100.17237890476792,124.31845200455292,15.883900341469584,"Lhx2-, HnF4a-",2
2337,99.69197080291973,125.01216545012166,445.43004866180047,"Lhx2-, HnF4a-",2
2338,101.20719370550768,144.9846384413638,796.4379917572124,"Lhx2-, HnF4a-",2
2339,100.32813278008298,165.78340248962655,629.7941908713693,"Lhx2-, HnF4a-",2
2340,100.3112265281662,214.44346783859368,527.7331202556932,"Lhx2-, HnF4a-",2
2341,99.18613790639516,235.35738954388472,486.113492914136,"Lhx2-, HnF4a-",2
2342,102.0788777130757,239.38327157226047,772.4949708840657,"Lhx2-, HnF4a-",2
2343,99.61195361284568,242.9678858162355,188.7810486668649,"Lhx2-, HnF4a-",2
2344,99.8165820642978,269.9015228426396,17.35736040609137,"Lhx2-, HnF4a-",2
2345,99.65331449904149,288.5049944506104,134.98627787307032,"Lhx2-, HnF4a-",2
2346,99.97946544980444,296.70827900912644,541.287483702738,"Lhx2-, HnF4a-",2
2347,99.81655548817466,305.7307459066101,475.22680412371136,"Lhx2-, HnF4a-",2
2348,100.01111261688575,316.9081176311153,124.6881691286082,"Lhx2-, HnF4a-",2
2349,100.20124282982792,322.8804971319312,567.967017208413,"Lhx2-, HnF4a-",2
2350,100.37289698087118,323.1952062687255,595.571329799493,"Lhx2-, HnF4a-",2
2351,99.90226781857451,375.119060475162,440.8772948164147,"Lhx2-, HnF4a-",2
2352,100.14283469516027,4.182903834066625,756.2405719673161,"Lhx2-, HnF4a-",2
2353,97.86872586872587,32.25868725868726,683.8996138996139,"Lhx2+, HnF4a-",0
2354,101.70223857712358,61.80036798528059,290.69487887151183,"Lhx2-, HnF4a-",2
2355,98.90768271130057,80.75933049173511,275.4964133485809,"Lhx2+, HnF4a-",0
2356,101.225,156.9328629032258,71.5641129032258,"Lhx2-, HnF4a-",2
2357,100.80661734484175,171.0071927661323,363.9134812988081,"Lhx2-, HnF4a-",2
2358,102.02149707860214,197.43457171204932,155.18366222026236,"Lhx2-, HnF4a-",2
2359,101.69795490298898,201.17094913476663,453.7288935500787,"Lhx2-, HnF4a-",2
2360,100.86269070735092,206.2243411927878,362.0766296809986,"Lhx2-, HnF4a+",1
2361,102.46465768643245,216.5804749340369,599.3114845160394,"Lhx2-, HnF4a-",2
2362,106.37505957108816,254.85019857029388,788.0034948371724,"Lhx2-, HnF4a+",1
2363,100.53990540939994,426.2459355601537,522.0571977534732,"Lhx2-, HnF4a-",2
2364,101.79538699322316,39.47211984306266,403.227678040661,"Lhx2-, HnF4a-",2
2365,104.2522026431718,58.879845814977976,779.5477973568281,"Lhx2-, HnF4a-",2
2366,100.7213254035684,93.28780798640612,771.7582837723024,"Lhx2-, HnF4a-",2
2367,103.855515813253,101.82275978915662,180.08923192771084,"Lhx2-, HnF4a+",1
2368,101.36283185840708,119.38053097345131,669.5752212389381,"Lhx2-, HnF4a-",2
2369,104.24052165300172,122.1418037748308,701.7304792824519,"Lhx2-, HnF4a-",2
2370,102.01189478974705,143.1003518177249,310.5025967498744,"Lhx2-, HnF4a-",2
2371,101.91662990736656,155.64608145860902,233.26216732833407,"Lhx2-, HnF4a-",2
2372,102.43727943535453,162.79788257940328,764.378141375254,"Lhx2-, HnF4a+",1
2373,100.189446366782,172.4426903114187,76.17474048442907,"Lhx2+, HnF4a-",0
2374,101.84537760416669,224.8059895833333,774.0888671875,"Lhx2-, HnF4a-",2
2375,102.4389545291801,240.4239169351952,3.380952380952381,"Lhx2-, HnF4a-",2
2376,101.43004552352048,290.57814871016694,95.2649468892261,"Lhx2-, HnF4a-",2
2377,101.08982655966864,299.83872637846235,352.61946673569764,"Lhx2-, HnF4a-",2
2378,101.56158282835658,347.84923705921005,412.0657808279185,"Lhx2-, HnF4a-",2
2379,98.96581196581197,358.9605672105672,742.545066045066,"Lhx2+, HnF4a-",0
2380,101.2224256292906,379.7383676582761,487.1096872616324,"Lhx2-, HnF4a-",2
2381,102.35668612732832,32.95987396904828,714.1718098415346,"Lhx2-, HnF4a-",2
2382,102.19116022099448,50.056353591160224,2.709944751381216,"Lhx2-, HnF4a-",2
2383,102.61607142857144,63.69596674876847,615.862222906404,"Lhx2-, HnF4a-",2
2384,103.04288070368334,65.24326553051127,44.21687740516767,"Lhx2-, HnF4a-",2
2385,102.56239046617596,74.48755695758851,63.48562916228531,"Lhx2-, HnF4a-",2
2386,104.17655634932206,83.26709432861934,86.31054089517423,"Lhx2-, HnF4a-",2
2387,102.5361541970803,105.80200729927007,124.71327554744524,"Lhx2-, HnF4a-",2
2388,103.37251469300988,111.25422033262474,587.6278604476679,"Lhx2-, HnF4a-",2
2389,103.65359063587472,115.5316355583676,779.1085099652009,"Lhx2-, HnF4a-",2
2390,101.90879155341835,149.90805979510768,547.0196006690362,"Lhx2-, HnF4a-",2
2391,104.2221850090428,204.36512827382947,481.0155402237256,"Lhx2-, HnF4a+",1
2392,103.1606819006166,258.5393543706928,592.1099020674646,"Lhx2-, HnF4a-",2
2393,103.57033762057878,281.17614549839226,788.9933681672026,"Lhx2-, HnF4a-",2
2394,102.64891041162228,308.0196862827666,326.18686177492367,"Lhx2-, HnF4a+",1
2395,103.88399935285553,308.6974599579356,789.8026209351237,"Lhx2-, HnF4a-",2
2396,103.85241510412166,326.5647628099888,348.3967856217057,"Lhx2-, HnF4a-",2
2397,104.0469930492596,373.51269265639166,361.67240858265336,"Lhx2-, HnF4a-",2
2398,102.49281850401044,411.7494870360008,511.9934713672822,"Lhx2-, HnF4a-",2
2399,104.00450629555998,15.081245858184229,527.7491053677933,"Lhx2-, HnF4a-",2
2400,102.98522167487684,13.689655172413794,697.871921182266,"Lhx2+, HnF4a-",0
2401,104.5330053300533,19.33415334153341,165.81891485581522,"Lhx2-, HnF4a-",2
2402,104.71595172903356,26.350572964202414,357.67052023121386,"Lhx2-, HnF4a-",2
2403,104.53036175710594,43.73465762273902,378.0657299741602,"Lhx2-, HnF4a-",2
2404,104.67209554831705,53.41965255157437,26.53257328990228,"Lhx2-, HnF4a-",2
2405,104.33267169511711,72.28364430329496,581.1792377927749,"Lhx2-, HnF4a-",2
2406,105.35331019754403,169.21329418045914,468.7301121195943,"Lhx2-, HnF4a-",2
2407,98.73958542966392,214.29965787884888,549.9231233648621,"Lhx2-, HnF4a+",1
2408,110.44426960398636,240.882769472856,694.5963808025177,"Lhx2+, HnF4a-",0
2409,97.9442931418668,238.9143352314929,690.594082693736,"Lhx2+, HnF4a-",0
2410,103.73334921958777,266.8781127129751,196.674728940784,"Lhx2-, HnF4a-",2
2411,103.8453958264326,279.95751904604174,480.0221927790659,"Lhx2-, HnF4a-",2
2412,104.44132514894385,391.6250225672504,382.128001444304,"Lhx2-, HnF4a-",2
2413,102.21811051693405,413.74923351158645,302.7778966131907,"Lhx2-, HnF4a-",2
2414,104.20781434377868,416.56798216861154,735.114330667366,"Lhx2+, HnF4a-",0
2415,106.43835616438356,4.966834895457823,212.9113193943764,"Lhx2-, HnF4a-",2
2416,103.60680423870608,28.356385945343,682.9369771332962,"Lhx2+, HnF4a-",0
2417,105.19800924280128,48.4987557767508,307.6813011020263,"Lhx2-, HnF4a-",2
2418,104.77493756427208,52.28749816365506,133.30101366240635,"Lhx2-, HnF4a-",2
2419,105.3300063371356,57.54895437262358,338.65842839036753,"Lhx2-, HnF4a-",2
2420,105.98293743727,73.86968885915022,462.04550016728,"Lhx2-, HnF4a-",2
2421,105.02385482218644,78.50958583345529,241.1260061466413,"Lhx2-, HnF4a-",2
2422,106.2900144319978,101.2067899113463,329.2298811078276,"Lhx2-, HnF4a+",1
2423,105.1918037357123,100.46849735154726,66.95734597156398,"Lhx2-, HnF4a-",2
2424,105.25570776255708,112.89663760896636,549.0276740002768,"Lhx2-, HnF4a-",2
2425,105.21329639889196,119.67458813238082,98.90771249453272,"Lhx2-, HnF4a-",2
2426,105.568200270636,128.4640054127199,738.2150202976995,"Lhx2-, HnF4a+",1
2427,106.15745721271394,138.87359413202935,57.68337408312959,"Lhx2-, HnF4a-",2
2428,107.3431997958663,160.2426639448839,197.023730543506,"Lhx2-, HnF4a-",2
2429,105.41732650209596,179.49479894426332,601.3889147647881,"Lhx2-, HnF4a-",2
2430,105.6410445559162,230.7460902921216,316.84685748008263,"Lhx2-, HnF4a-",2
2431,106.87593232672369,255.43187193014373,504.0840458431872,"Lhx2-, HnF4a+",1
2432,105.56757614213198,270.9321065989848,344.5831218274112,"Lhx2-, HnF4a-",2
